filename,area,tilt_degree,bounding_box_coordinates,four_vertices_locations,license_plate_number,brightness,blurriness
0286159003831-86_89-286&468_541&588-546&548_288&587_279&495_537&456-0_0_27_26_27_30_27-153-119.jpg,0286159003831,86_89,286&468_541&588,546&548_288&587_279&495_537&456,0_0_27_26_27_30_27,153,119
0286170977012-90_94-215&466_475&577-477&560_228&574_241&471_490&457-0_0_20_27_21_24_30-147-153.jpg,0286170977012,90_94,215&466_475&577,477&560_228&574_241&471_490&457,0_0_20_27_21_24_30,147,153
0286182950191-90_88-223&425_573&533-572&529_219&529_217&426_570&426-0_0_15_18_29_25_25-122-173.jpg,0286182950191,90_88,223&425_573&533,572&529_219&529_217&426_570&426,0_0_15_18_29_25_25,122,173
0286206896552-91_81-166&519_491&611-490&622_195&602_177&515_472&535-0_0_17_28_25_31_16-126-132.jpg,0286206896552,91_81,166&519_491&611,490&622_195&602_177&515_472&535,0_0_17_28_25_31_16,126,132
0286254789272-91_86-189&511_485&619-490&616_202&603_190&507_478&520-0_0_4_33_32_33_1-101-132.jpg,0286254789272,91_86,189&511_485&619,490&616_202&603_190&507_478&520,0_0_4_33_32_33_1,101,132
0286254789272-93_88-165&381_458&483-466&482_167&460_166&371_465&393-0_0_14_27_30_26_28-102-126.jpg,0286254789272,93_88,165&381_458&483,466&482_167&460_166&371_465&393,0_0_14_27_30_26_28,102,126
0286302681993-85_97-255&445_527&546-519&518_263&544_276&464_532&438-0_0_8_25_11_32_25-75-170.jpg,0286302681993,85_97,255&445_527&546,519&518_263&544_276&464_532&438,0_0_8_25_11_32_25,75,170
0286302681993-90_88-128&443_543&529-560&540_125&546_109&437_544&431-0_0_30_23_27_32_32-122-178.jpg,0286302681993,90_88,128&443_543&529,560&540_125&546_109&437_544&431,0_0_30_23_27_32_32,122,178
0286398467433-88_89-316&297_590&393-599&383_336&400_333&309_596&292-0_0_18_3_33_25_32-106-115.jpg,0286398467433,88_89,316&297_590&393,599&383_336&400_333&309_596&292,0_0_18_3_33_25_32,106,115
0286398467433-89_90-201&463_485&565-475&550_209&566_204&463_470&447-0_0_27_24_32_13_33-109-125.jpg,0286398467433,89_90,201&463_485&565,475&550_209&566_204&463_470&447,0_0_27_24_32_13_33,109,125
0286398467433-93_85-224&477_498&593-507&597_230&568_222&473_499&502-0_0_8_30_29_33_25-163-107.jpg,0286398467433,93_85,224&477_498&593,507&597_230&568_222&473_499&502,0_0_8_30_29_33_25,163,107
0286398467433-98_85-334&544_589&659-582&657_332&616_337&537_587&578-0_0_31_32_26_20_25-97-102.jpg,0286398467433,98_85,334&544_589&659,582&657_332&616_337&537_587&578,0_0_31_32_26_20_25,97,102
0286458333333-88_95-334&444_623&563-620&531_345&552_357&462_632&441-0_0_32_6_29_27_27-84-119.jpg,0286458333333,88_95,334&444_623&563,620&531_345&552_357&462_632&441,0_0_32_6_29_27_27,84,119
0286458333333-89_89-247&517_538&630-548&615_249&626_254&519_553&508-0_0_0_31_26_28_30-137-108.jpg,0286458333333,89_89,247&517_538&630,548&615_249&626_254&519_553&508,0_0_0_31_26_28_30,137,108
0286458333333-90_86-117&487_465&584-483&586_130&585_108&481_461&482-0_0_0_24_32_24_12-106-130.jpg,0286458333333,90_86,117&487_465&584,483&586_130&585_108&481_461&482,0_0_0_24_32_24_12,106,130
0286458333333-91_88-217&407_511&506-521&507_219&501_224&400_526&406-0_0_15_4_24_29_26-122-146.jpg,0286458333333,91_88,217&407_511&506,521&507_219&501_224&400_526&406,0_0_15_4_24_29_26,122,146
