filename,area,tilt_degree,bounding_box_coordinates,four_vertices_locations,license_plate_number,brightness,blurriness
3026649305555555555-90_92-185&448_492&536-492&536_185&535_192&453_490&448-0_0_3_24_24_24_26_32-70-140.jpg,3026649305555555555,90_92,185&448_492&536,492&536_185&535_192&453_490&448,0_0_3_24_24_24_26_32,70,140
0236979166667-90_251-225&426_505&512-505&512_249&504_225&427_483&426-0_0_3_24_26_29_29_31-87-39.jpg,0236979166667,90_251,225&426_505&512,505&512_249&504_225&427_483&426,0_0_3_24_26_29_29_31,87,39
0310275607639-90_92-208&451_509&555-507&551_210&555_208&451_509&461-0_0_5_24_31_24_32_33-107-89.jpg,0310275607639,90_92,208&451_509&555,507&551_210&555_208&451_509&461,0_0_5_24_31_24_32_33,107,89
0242057291667-91_265-155&401_441&486-441&486_160&482_155&401_441&411-0_0_3_25_26_33_33_33-138-80.jpg,0242057291667,91_265,155&401_441&486,441&486_160&482_155&401_441&411,0_0_3_25_26_33_33_33,138,80
00925347222222-90_94-243&474_407&531-407&529_243&531_245&476_404&474-0_0_3_17_24_33_24_27-145-54.jpg,00925347222222,90_94,243&474_407&531,407&529_243&531_245&476_404&474,0_0_3_17_24_33_24_27,145,54
028212890625-90_109-184&458_505&547-505&547_211&543_184&458_481&469-0_0_3_3_33_32_24_33-91-101.jpg,028212890625,90_109,184&458_505&547,505&547_211&543_184&458_481&469,0_0_3_3_33_32_24_33,91,101
03349609375-90_269-177&430_520&528-512&528_178&525_177&432_520&430-0_0_3_24_33_29_29_30-123-79.jpg,03349609375,90_269,177&430_520&528,512&528_178&525_177&432_520&430,0_0_3_24_33_29_29_30,123,79
030963541666666667-90_268-226&448_554&543-554&541_229&543_226&448_551&451-0_0_3_24_29_28_30_27-113-209.jpg,030963541666666667,90_268,226&448_554&543,554&541_229&543_226&448_551&451,0_0_3_24_29_28_30_27,113,209
0172634548611-92_269-267&468_482&549-482&548_267&549_270&468_478&478-0_0_3_24_26_27_27_27-149-102.jpg,0172634548611,92_269,267&468_482&549,482&548_267&549_270&468_478&478,0_0_3_24_26_27_27_27,149,102
0251323784722-90_95-187&480_500&561-495&558_190&561_187&480_500&481-0_0_3_24_27_25_30_32-84-233.jpg,0251323784722,90_95,187&480_500&561,495&558_190&561_187&480_500&481,0_0_3_24_27_25_30_32,84,233
0201009114583-89_103-205&444_452&526-438&520_205&526_220&444_452&447-0_0_3_25_25_32_25_29-89-98.jpg,0201009114583,89_103,205&444_452&526,438&520_205&526_220&444_452&447,0_0_3_25_25_32_25_29,89,98
