               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040629,            0.019306,                   0,             0.43887,             0.89933,             0.52055,             0.26288,            0.035757,           0.0061464,                   0,            0.070042,           0.0033287,           0.0033287
                   1,             0.02871,           0.0087439,                   0,             0.98818,             0.97203,             0.99308,             0.55619,            0.021718,           0.0054233,                   0,            0.040002,           0.0066221,           0.0066221
                   2,             0.02627,           0.0069585,                   0,             0.99799,             0.99027,             0.99466,             0.64968,            0.021582,           0.0050009,                   0,           0.0099216,           0.0098754,           0.0098754
                   3,            0.022738,           0.0063566,                   0,             0.99597,             0.98838,             0.99403,             0.71738,            0.020827,           0.0048673,                   0,             0.00982,             0.00982,             0.00982
                   4,            0.019382,           0.0057796,                   0,             0.99598,             0.98882,             0.99447,             0.74335,            0.016589,           0.0042963,                   0,             0.00982,             0.00982,             0.00982
                   5,            0.016461,           0.0050991,                   0,             0.99634,             0.98002,              0.9935,             0.78401,            0.015723,           0.0045078,                   0,             0.00976,             0.00976,             0.00976
                   6,             0.01596,           0.0049418,                   0,             0.99291,             0.98002,             0.99405,             0.79653,            0.014732,           0.0042048,                   0,              0.0097,              0.0097,              0.0097
                   7,            0.015134,           0.0049485,                   0,             0.99347,             0.98102,             0.99422,             0.78555,            0.015744,           0.0041948,                   0,             0.00964,             0.00964,             0.00964
                   8,            0.014647,           0.0048006,                   0,             0.99595,             0.98172,             0.99443,             0.80369,            0.014788,           0.0041718,                   0,             0.00958,             0.00958,             0.00958
                   9,             0.01405,           0.0048549,                   0,             0.99083,             0.98701,              0.9944,             0.79998,            0.014617,           0.0039954,                   0,             0.00952,             0.00952,             0.00952
                  10,            0.013491,           0.0045813,                   0,             0.99853,             0.97702,              0.9942,             0.74438,            0.014502,           0.0042867,                   0,             0.00946,             0.00946,             0.00946
                  11,            0.012729,           0.0044768,                   0,             0.99171,             0.97203,             0.99015,             0.81556,            0.014166,           0.0044259,                   0,              0.0094,              0.0094,              0.0094
                  12,            0.013098,           0.0045816,                   0,             0.99191,             0.98037,             0.99451,             0.80986,            0.013216,           0.0041747,                   0,             0.00934,             0.00934,             0.00934
                  13,            0.012471,           0.0042951,                   0,             0.99291,             0.97974,             0.99392,             0.82828,            0.012697,           0.0041933,                   0,             0.00928,             0.00928,             0.00928
                  14,            0.012265,           0.0044155,                   0,             0.98982,             0.97502,             0.99296,             0.81732,             0.01379,           0.0044923,                   0,             0.00922,             0.00922,             0.00922
                  15,            0.012028,           0.0043982,                   0,             0.99554,             0.97802,             0.99441,             0.82966,            0.012663,           0.0042419,                   0,             0.00916,             0.00916,             0.00916
                  16,            0.011923,           0.0043809,                   0,             0.99079,             0.98002,             0.99339,             0.83161,            0.012067,           0.0039258,                   0,              0.0091,              0.0091,              0.0091
                  17,            0.011829,           0.0041379,                   0,             0.99616,             0.98102,             0.99372,             0.83432,            0.013803,           0.0041694,                   0,             0.00904,             0.00904,             0.00904
                  18,            0.011386,           0.0041336,                   0,             0.99491,              0.9759,             0.99414,              0.8197,             0.01297,           0.0044158,                   0,             0.00898,             0.00898,             0.00898
                  19,            0.011355,             0.00416,                   0,             0.99487,             0.96794,             0.99298,             0.82907,            0.013058,           0.0044041,                   0,             0.00892,             0.00892,             0.00892
                  20,            0.011293,           0.0043552,                   0,              0.9868,             0.97112,              0.9892,             0.83328,            0.011475,           0.0045969,                   0,             0.00886,             0.00886,             0.00886
